epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8844,1.75088,2.06869,1.34943,0.7934,0.69399,0.77402,0.37884,1.76327,1.07229,1.25916,0.000554647,0.000554647,0.000554647
2,55.7918,1.70557,1.17549,1.31641,0.82341,0.71271,0.82289,0.42304,1.76265,0.99892,1.22345,0.00108589,0.00108589,0.00108589
3,81.492,1.68038,1.06645,1.31017,0.83868,0.73725,0.82211,0.42726,1.73668,1.07425,1.23543,0.00159268,0.00159268,0.00159268
4,107.028,1.64647,0.99536,1.29176,0.87424,0.81053,0.86059,0.43974,1.72357,0.89471,1.23066,0.00155698,0.00155698,0.00155698
5,131.592,1.62053,0.93326,1.27418,0.8471,0.77544,0.83753,0.45331,1.70205,0.90273,1.21652,0.0015203,0.0015203,0.0015203
6,156.805,1.5818,0.88241,1.25262,0.70227,0.76928,0.71278,0.37682,1.64603,0.90821,1.20153,0.00148363,0.00148363,0.00148363
7,181.19,1.5578,0.8585,1.23964,0.85495,0.77919,0.86026,0.46799,1.69731,0.86485,1.1992,0.00144696,0.00144696,0.00144696
8,206.843,1.53866,0.83495,1.22693,0.79957,0.80124,0.85559,0.46621,1.71537,0.93911,1.1891,0.00141028,0.00141028,0.00141028
9,231.049,1.52423,0.81685,1.21146,0.86966,0.78664,0.86289,0.47881,1.70568,0.85318,1.19618,0.00137361,0.00137361,0.00137361
10,255.396,1.50028,0.79473,1.20848,0.84103,0.81313,0.88793,0.52695,1.62316,0.81566,1.16505,0.00133693,0.00133693,0.00133693
11,281.53,1.48988,0.77118,1.19382,0.90919,0.82313,0.89563,0.52701,1.61447,0.78745,1.16271,0.00130026,0.00130026,0.00130026
12,306.87,1.47533,0.76337,1.18692,0.9323,0.84447,0.91499,0.5398,1.58893,0.75945,1.14645,0.00126359,0.00126359,0.00126359
13,332.613,1.46268,0.75264,1.18087,0.91392,0.83615,0.90832,0.52933,1.63396,0.78225,1.16621,0.00122691,0.00122691,0.00122691
14,356.784,1.44012,0.73289,1.17323,0.91523,0.83532,0.90358,0.53855,1.63958,0.76837,1.15498,0.00119024,0.00119024,0.00119024
15,381.082,1.45524,0.72547,1.17855,0.9172,0.8353,0.91324,0.53303,1.60055,0.72875,1.15383,0.00115356,0.00115356,0.00115356
16,405.554,1.42484,0.71602,1.16791,0.91928,0.85757,0.92012,0.5408,1.58218,0.71887,1.14774,0.00111689,0.00111689,0.00111689
17,431.354,1.42294,0.71145,1.16122,0.90981,0.86738,0.91787,0.54184,1.56278,0.73718,1.12657,0.00108022,0.00108022,0.00108022
18,455.74,1.404,0.69196,1.15665,0.92621,0.88067,0.92867,0.51901,1.59367,0.732,1.14057,0.00104354,0.00104354,0.00104354
19,480.943,1.39654,0.68929,1.15152,0.91614,0.87353,0.92561,0.56115,1.51154,0.68535,1.10977,0.00100687,0.00100687,0.00100687
20,507.343,1.38888,0.67739,1.14601,0.91374,0.88558,0.92873,0.56757,1.53909,0.69762,1.11483,0.000970194,0.000970194,0.000970194
21,532.395,1.37387,0.66522,1.13856,0.9164,0.85162,0.92631,0.55943,1.604,0.70951,1.14187,0.00093352,0.00093352,0.00093352
22,558.563,1.37959,0.66195,1.14091,0.92725,0.85782,0.92742,0.55344,1.57325,0.69711,1.12385,0.000896846,0.000896846,0.000896846
23,583.837,1.36482,0.6517,1.13838,0.9309,0.89047,0.93217,0.56596,1.52997,0.6586,1.11131,0.000860172,0.000860172,0.000860172
24,609.806,1.34714,0.63777,1.1249,0.92295,0.85862,0.93077,0.55321,1.57198,0.67519,1.13013,0.000823498,0.000823498,0.000823498
25,635.37,1.34521,0.64004,1.12334,0.92802,0.89852,0.93576,0.56512,1.54704,0.6743,1.11177,0.000786824,0.000786824,0.000786824
