epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1018,1.75899,2.11205,1.36583,0.81246,0.77698,0.82584,0.39546,1.76184,1.07371,1.25747,0.000475459,0.000475459,0.000475459
2,58.8504,1.69701,1.1807,1.33189,0.83703,0.62479,0.77318,0.39796,1.76774,1.03947,1.25431,0.000930853,0.000930853,0.000930853
3,82.9296,1.67237,1.05296,1.3172,0.86423,0.80017,0.857,0.45614,1.71181,0.92079,1.2117,0.00136529,0.00136529,0.00136529
4,109.099,1.62746,0.97597,1.29452,0.84774,0.79878,0.86508,0.47203,1.64109,0.95809,1.19933,0.00133469,0.00133469,0.00133469
5,134.913,1.598,0.91757,1.27307,0.78986,0.76625,0.81013,0.42891,1.79177,0.98249,1.23617,0.00130325,0.00130325,0.00130325
6,160.015,1.57041,0.86985,1.25356,0.87113,0.83002,0.88523,0.46321,1.69009,0.87944,1.21649,0.00127181,0.00127181,0.00127181
7,185.091,1.5487,0.84996,1.24599,0.89155,0.82251,0.89123,0.49828,1.67479,0.83743,1.19624,0.00124037,0.00124037,0.00124037
8,210.475,1.53361,0.82253,1.23372,0.84388,0.82014,0.87167,0.48071,1.69789,0.92181,1.19613,0.00120893,0.00120893,0.00120893
9,236.092,1.5187,0.80496,1.21822,0.8494,0.82457,0.89828,0.51422,1.64258,0.79723,1.17682,0.0011775,0.0011775,0.0011775
10,261.194,1.48658,0.77805,1.20789,0.90881,0.84392,0.91095,0.53904,1.56803,0.77269,1.13959,0.00114606,0.00114606,0.00114606
11,285.927,1.48627,0.75859,1.19996,0.90532,0.84672,0.90592,0.51934,1.57851,0.73943,1.15347,0.00111462,0.00111462,0.00111462
12,311.253,1.47095,0.75192,1.19276,0.92265,0.84075,0.90255,0.52599,1.61242,0.75873,1.16338,0.00108318,0.00108318,0.00108318
13,336.135,1.45343,0.73733,1.18435,0.90517,0.84602,0.91148,0.53209,1.60805,0.76305,1.15785,0.00105174,0.00105174,0.00105174
14,361.562,1.43607,0.72043,1.17728,0.87183,0.80436,0.87942,0.50599,1.71689,0.79799,1.18293,0.00102031,0.00102031,0.00102031
15,386.294,1.44211,0.71322,1.18486,0.91446,0.85073,0.9179,0.54814,1.57583,0.72483,1.13401,0.000988868,0.000988868,0.000988868
16,412.86,1.41975,0.70303,1.17332,0.9099,0.84952,0.91266,0.52631,1.63166,0.72771,1.15652,0.00095743,0.00095743,0.00095743
17,436.876,1.41801,0.70255,1.16676,0.91579,0.86271,0.91622,0.53859,1.59515,0.74032,1.13767,0.000925992,0.000925992,0.000925992
18,462.725,1.39378,0.68318,1.15946,0.93696,0.85941,0.923,0.54061,1.55906,0.70991,1.12823,0.000894554,0.000894554,0.000894554
19,488.214,1.38879,0.6763,1.15486,0.93029,0.87749,0.92811,0.56621,1.50307,0.6706,1.11632,0.000863116,0.000863116,0.000863116
20,513.394,1.38152,0.66804,1.15093,0.94362,0.86352,0.92641,0.55979,1.5342,0.69125,1.12249,0.000831678,0.000831678,0.000831678
21,538.126,1.36815,0.65848,1.14294,0.91711,0.86562,0.92694,0.56078,1.55631,0.69018,1.11916,0.00080024,0.00080024,0.00080024
22,563.925,1.37166,0.65609,1.14516,0.93422,0.86182,0.93069,0.55654,1.61097,0.69543,1.1399,0.000768802,0.000768802,0.000768802
23,589.575,1.35757,0.64206,1.1397,0.93076,0.88382,0.93205,0.57346,1.51074,0.6543,1.10664,0.000737364,0.000737364,0.000737364
24,615.317,1.34423,0.63109,1.12966,0.9208,0.86994,0.92896,0.55291,1.54661,0.67983,1.12071,0.000705926,0.000705926,0.000705926
25,640.834,1.33947,0.63021,1.12678,0.94152,0.88905,0.93209,0.5647,1.53992,0.67277,1.11368,0.000674488,0.000674488,0.000674488
26,665.699,1.33157,0.62288,1.12622,0.93412,0.87738,0.9342,0.56219,1.5308,0.64673,1.1168,0.00064305,0.00064305,0.00064305
27,691.785,1.32714,0.61917,1.12424,0.93169,0.89327,0.93689,0.58813,1.49011,0.62903,1.09585,0.000611612,0.000611612,0.000611612
28,718.072,1.31808,0.61324,1.11715,0.94703,0.87981,0.94318,0.581,1.53688,0.63191,1.10884,0.000580174,0.000580174,0.000580174
29,743.383,1.31293,0.60676,1.11524,0.92748,0.89714,0.93759,0.56467,1.51629,0.63337,1.1075,0.000548736,0.000548736,0.000548736
30,769.017,1.29902,0.59909,1.11158,0.93161,0.90026,0.93815,0.59364,1.47437,0.60743,1.0904,0.000517298,0.000517298,0.000517298
31,794.302,1.29089,0.59577,1.10865,0.94477,0.87009,0.93968,0.58435,1.51979,0.62945,1.10126,0.00048586,0.00048586,0.00048586
32,820.072,1.27542,0.58618,1.10315,0.937,0.88851,0.94077,0.58825,1.51758,0.6183,1.10141,0.000454422,0.000454422,0.000454422
33,845.85,1.27531,0.57795,1.10325,0.94502,0.901,0.94262,0.59482,1.51502,0.60088,1.10355,0.000422984,0.000422984,0.000422984
34,871.27,1.27319,0.57952,1.09955,0.955,0.90073,0.94334,0.59004,1.47566,0.59666,1.09057,0.000391546,0.000391546,0.000391546
35,896.403,1.25334,0.5653,1.08974,0.94549,0.91173,0.94667,0.58847,1.50066,0.59731,1.09651,0.000360108,0.000360108,0.000360108
36,923.079,1.264,0.53197,1.1165,0.94606,0.90125,0.94331,0.59427,1.47522,0.59732,1.09293,0.00032867,0.00032867,0.00032867
37,947.814,1.24698,0.52269,1.10544,0.95607,0.90861,0.94871,0.60172,1.47524,0.59415,1.0848,0.000297232,0.000297232,0.000297232
38,972.455,1.23041,0.51624,1.09375,0.95309,0.9088,0.94774,0.59703,1.4709,0.58885,1.08536,0.000265794,0.000265794,0.000265794
39,997.578,1.22173,0.50963,1.09135,0.94817,0.91106,0.94753,0.60055,1.46548,0.58269,1.08528,0.000234356,0.000234356,0.000234356
40,1022.39,1.21236,0.50237,1.08915,0.94399,0.92152,0.94865,0.59608,1.47684,0.57906,1.08962,0.000202918,0.000202918,0.000202918
41,1047.87,1.20554,0.49834,1.08463,0.9491,0.91272,0.94888,0.60485,1.47663,0.58197,1.08466,0.00017148,0.00017148,0.00017148
42,1073.35,1.19424,0.49343,1.07984,0.94918,0.921,0.94977,0.60983,1.47336,0.57348,1.08249,0.000140042,0.000140042,0.000140042
43,1097.61,1.18529,0.48814,1.07343,0.95208,0.90975,0.95046,0.60281,1.47157,0.57601,1.08452,0.000108604,0.000108604,0.000108604
