epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5957,2.04389,2.99978,1.4484,0.57701,0.50355,0.50483,0.20601,1.71579,10.5572,1.14195,0.000553631,0.000553631,0.000553631
2,38.666,1.98002,1.50984,1.39802,0.75214,0.64833,0.66302,0.24048,1.67258,3.74739,1.09929,0.00108489,0.00108489,0.00108489
3,56.1545,1.93908,1.30818,1.37236,0.60753,0.60993,0.54247,0.20237,1.81857,8.63291,1.19762,0.00159171,0.00159171,0.00159171
4,74.008,1.92022,1.23363,1.36774,0.65342,0.57713,0.59826,0.25964,1.67356,1.56163,1.1023,0.00155698,0.00155698,0.00155698
5,92.0357,1.89229,1.17235,1.33807,0.66922,0.62776,0.63417,0.25793,1.69144,8.26168,1.11367,0.0015203,0.0015203,0.0015203
6,109.702,1.8764,1.13327,1.32733,0.75745,0.51684,0.59096,0.25795,1.62977,2.06438,1.08699,0.00148363,0.00148363,0.00148363
7,127.138,1.84155,1.08691,1.30454,0.74242,0.65924,0.71226,0.30433,1.633,2.32667,1.06571,0.00144696,0.00144696,0.00144696
8,144.709,1.80942,1.0577,1.28407,0.79528,0.71277,0.76691,0.33899,1.5689,0.93485,1.04732,0.00141028,0.00141028,0.00141028
9,162.531,1.79688,1.03815,1.28099,0.745,0.64751,0.71356,0.28955,1.663,2.62043,1.07554,0.00137361,0.00137361,0.00137361
10,180.604,1.76553,1.00208,1.27475,0.72919,0.62323,0.7105,0.30235,1.67446,0.90941,1.07877,0.00133693,0.00133693,0.00133693
11,198.298,1.77214,1.0043,1.2594,0.75999,0.67819,0.73734,0.33307,1.59322,1.00859,1.042,0.00130026,0.00130026,0.00130026
12,215.478,1.74475,0.97371,1.25101,0.81107,0.70788,0.78108,0.35572,1.57148,0.82252,1.03057,0.00126359,0.00126359,0.00126359
13,233.091,1.73888,0.9629,1.23961,0.82296,0.75177,0.79474,0.3881,1.50464,0.87564,1.00497,0.00122691,0.00122691,0.00122691
14,250.854,1.71754,0.94452,1.24671,0.80875,0.71604,0.79345,0.36866,1.57217,0.78457,1.0087,0.00119024,0.00119024,0.00119024
15,268.563,1.71585,0.93385,1.23664,0.839,0.74381,0.80996,0.36443,1.57295,0.89651,1.02597,0.00115356,0.00115356,0.00115356
16,286.148,1.69885,0.91471,1.22544,0.82414,0.72703,0.80203,0.38036,1.53627,0.79448,1.01193,0.00111689,0.00111689,0.00111689
17,304.213,1.68572,0.89949,1.21587,0.83727,0.73138,0.80232,0.37156,1.59677,0.77092,1.02337,0.00108022,0.00108022,0.00108022
18,322.148,1.67787,0.88706,1.20985,0.81052,0.74328,0.79507,0.35932,1.58044,0.86459,1.01435,0.00104354,0.00104354,0.00104354
19,339.79,1.66144,0.87861,1.20891,0.86062,0.75,0.82929,0.40545,1.48785,0.7318,0.98693,0.00100687,0.00100687,0.00100687
20,358.153,1.64864,0.86708,1.20373,0.86678,0.7441,0.82508,0.39766,1.50495,0.71679,0.9973,0.000970194,0.000970194,0.000970194
21,376.066,1.63577,0.85017,1.18832,0.85371,0.7398,0.8164,0.40377,1.50035,0.71015,1.0014,0.00093352,0.00093352,0.00093352
22,394.159,1.62244,0.83006,1.18541,0.85577,0.7469,0.83249,0.40168,1.52335,0.80753,0.9974,0.000896846,0.000896846,0.000896846
23,412.198,1.6116,0.8186,1.17278,0.86441,0.77394,0.83865,0.38557,1.56518,0.73607,1.01505,0.000860172,0.000860172,0.000860172
24,430.107,1.61883,0.81833,1.1719,0.85578,0.7695,0.84888,0.40986,1.48336,0.6994,0.9772,0.000823498,0.000823498,0.000823498
