epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1707,2.21726,1.93035,1.43229,0.02747,0.20779,0.01397,0.00572,2.41035,inf,1.59811,0.000661871,0.000661871,0.000661871
2,52.4089,2.085,1.32593,1.38255,0.45566,0.39069,0.28294,0.07182,2.38419,4.57793,1.5094,0.00130223,0.00130223,0.00130223
3,75.8442,2.04833,1.28133,1.35737,0.43062,0.24134,0.29597,0.12204,2.19798,3.15399,1.42835,0.00191619,0.00191619,0.00191619
4,99.141,2.01413,1.21525,1.34973,0.5764,0.52381,0.53489,0.18894,2.08648,1.32772,1.35261,0.0018812,0.0018812,0.0018812
5,122.483,2.00343,1.20509,1.33281,0.693,0.57359,0.58751,0.22281,2.03146,1.20985,1.32599,0.0018416,0.0018416,0.0018416
6,146.007,1.96375,1.16803,1.31896,0.65881,0.53498,0.58208,0.22129,2.04217,1.24181,1.32847,0.001802,0.001802,0.001802
7,169.158,1.94581,1.16669,1.29751,0.74637,0.65924,0.68418,0.25566,1.99985,1.18752,1.32711,0.0017624,0.0017624,0.0017624
8,192.424,1.90698,1.11389,1.29097,0.73439,0.63853,0.67282,0.24582,2.02407,1.1297,1.33786,0.0017228,0.0017228,0.0017228
9,215.289,1.90119,1.10956,1.29237,0.21069,0.37121,0.17191,0.06747,2.38679,3.88003,1.49597,0.0016832,0.0016832,0.0016832
10,238.46,1.88879,1.07528,1.2809,0.69294,0.60823,0.66894,0.25569,2.02779,1.11848,1.32197,0.0016436,0.0016436,0.0016436
11,261.296,1.88988,1.07284,1.26328,0.78872,0.66667,0.70949,0.29657,1.95259,1.05026,1.28856,0.001604,0.001604,0.001604
12,284.706,1.8615,1.04609,1.25324,0.75529,0.64394,0.70589,0.26443,2.05237,1.12707,1.33224,0.0015644,0.0015644,0.0015644
13,307.585,1.85683,1.01274,1.25735,0.77743,0.66154,0.70712,0.27681,1.98732,1.06339,1.29704,0.0015248,0.0015248,0.0015248
14,330.586,1.8479,1.02725,1.25252,0.72295,0.63961,0.68202,0.26351,1.94647,1.09717,1.26858,0.0014852,0.0014852,0.0014852
15,353.442,1.8301,1.00644,1.23883,0.67765,0.61472,0.67278,0.25495,2.13412,1.15756,1.40368,0.0014456,0.0014456,0.0014456
16,376.67,1.81811,1.00533,1.2426,0.80194,0.69697,0.75142,0.30128,1.89651,1.00687,1.25557,0.001406,0.001406,0.001406
17,400.053,1.81339,0.97893,1.25081,0.79345,0.71753,0.74514,0.3179,1.86636,0.95819,1.2438,0.0013664,0.0013664,0.0013664
18,423.587,1.81327,0.99363,1.23209,0.81762,0.67641,0.75924,0.33253,1.87632,0.93667,1.24207,0.0013268,0.0013268,0.0013268
19,446.977,1.79519,0.96083,1.22655,0.78094,0.69481,0.7368,0.28655,1.96953,1.0377,1.28541,0.0012872,0.0012872,0.0012872
20,469.86,1.79193,0.9386,1.22443,0.82922,0.68939,0.75654,0.32278,1.84683,0.97753,1.23214,0.0012476,0.0012476,0.0012476
21,492.886,1.77765,0.9211,1.22066,0.80341,0.71651,0.75778,0.32686,1.82951,0.93185,1.22167,0.001208,0.001208,0.001208
22,515.447,1.74985,0.91007,1.20477,0.79495,0.72588,0.78078,0.32473,1.90244,0.93206,1.24052,0.0011684,0.0011684,0.0011684
23,538.41,1.75399,0.89818,1.20755,0.81043,0.73701,0.80108,0.33732,1.90216,0.90819,1.24947,0.0011288,0.0011288,0.0011288
24,561.515,1.73814,0.89681,1.19514,0.82794,0.71104,0.78347,0.32984,1.92693,0.89893,1.26675,0.0010892,0.0010892,0.0010892
25,585.092,1.70971,0.86314,1.1982,0.84597,0.73593,0.80586,0.35237,1.81991,0.86248,1.22123,0.0010496,0.0010496,0.0010496
26,608.128,1.70238,0.84765,1.18323,0.83752,0.75868,0.8151,0.36489,1.80636,0.83767,1.20376,0.00101,0.00101,0.00101
27,631.487,1.69432,0.83519,1.18349,0.85228,0.74306,0.81016,0.37792,1.74945,0.8209,1.18148,0.0009704,0.0009704,0.0009704
28,655.003,1.67152,0.82085,1.17434,0.83942,0.75649,0.81482,0.36237,1.78851,0.85617,1.19486,0.0009308,0.0009308,0.0009308
29,678.01,1.67065,0.81687,1.17771,0.87573,0.75502,0.8327,0.37245,1.78321,0.80155,1.19786,0.0008912,0.0008912,0.0008912
30,700.941,1.63969,0.80361,1.16412,0.82386,0.75,0.81306,0.33709,1.9233,0.87194,1.25887,0.0008516,0.0008516,0.0008516
31,723.972,1.63595,0.78098,1.16067,0.86711,0.75558,0.83675,0.38072,1.81065,0.7921,1.2004,0.000812,0.000812,0.000812
32,747.125,1.61599,0.77222,1.15317,0.85149,0.78187,0.8301,0.38058,1.76778,0.78563,1.19062,0.0007724,0.0007724,0.0007724
33,769.944,1.62313,0.76474,1.15014,0.86863,0.78,0.84792,0.38828,1.75235,0.7894,1.1804,0.0007328,0.0007328,0.0007328
34,793.65,1.57653,0.74398,1.13238,0.86613,0.79654,0.86305,0.40216,1.74671,0.74697,1.18232,0.0006932,0.0006932,0.0006932
35,817.09,1.57269,0.74232,1.13291,0.86211,0.79164,0.84666,0.38647,1.78179,0.79643,1.19962,0.0006536,0.0006536,0.0006536
36,840.251,1.57717,0.72875,1.12752,0.89123,0.78139,0.85362,0.4131,1.65953,0.72688,1.15174,0.000614,0.000614,0.000614
37,863.526,1.54214,0.71593,1.11871,0.8841,0.79437,0.86642,0.41472,1.69958,0.72166,1.16508,0.0005744,0.0005744,0.0005744
38,887.004,1.51149,0.69755,1.10696,0.86871,0.78896,0.84393,0.40298,1.68741,0.72902,1.15967,0.0005348,0.0005348,0.0005348
39,910.075,1.498,0.68738,1.10083,0.88936,0.82792,0.872,0.42512,1.68303,0.6958,1.15821,0.0004952,0.0004952,0.0004952
