epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1879,1.96744,2.34014,1.93711,0.00029,0.13235,0.00017,6e-05,2.83065,8673.52,3.57844,0.000661692,0.000661692,0.000661692
2,45.8244,1.99183,1.63946,1.93153,0.0094,0.15196,0.01064,0.00286,2.17106,4.40106,2.13195,0.00130206,0.00130206,0.00130206
3,68.1557,1.95594,1.52847,1.88529,0.81702,0.74419,0.81975,0.43572,1.19782,26.9262,1.25982,0.00191602,0.00191602,0.00191602
4,90.5381,1.90026,1.42168,1.85963,0.6372,0.64706,0.66572,0.31134,1.24018,101.457,1.26885,0.0018812,0.0018812,0.0018812
5,112.751,1.84353,1.32291,1.83309,0.89657,0.82353,0.89066,0.46536,1.22653,4.58184,1.22423,0.0018416,0.0018416,0.0018416
6,134.876,1.81414,1.21569,1.7818,0.7423,0.64216,0.76012,0.44645,1.12632,36.6072,1.1637,0.001802,0.001802,0.001802
7,156.946,1.79886,1.16474,1.75709,0.88438,0.82493,0.89999,0.40504,1.32059,1.41654,1.30878,0.0017624,0.0017624,0.0017624
8,178.722,1.78807,1.1513,1.76256,0.91132,0.75565,0.82462,0.44766,1.18147,44.0891,1.20985,0.0017228,0.0017228,0.0017228
9,200.711,1.72457,1.0811,1.70051,0.96241,0.86765,0.93463,0.53023,1.117,3.17308,1.16273,0.0016832,0.0016832,0.0016832
10,222.885,1.69348,1.03188,1.6919,0.91796,0.79412,0.88381,0.40184,1.31555,7.69651,1.25802,0.0016436,0.0016436,0.0016436
11,244.768,1.71039,1.02064,1.68068,0.95356,0.91667,0.95552,0.56036,1.03039,1.73183,1.07884,0.001604,0.001604,0.001604
12,267.127,1.63986,0.9714,1.64194,0.9223,0.87255,0.92661,0.53417,1.07491,49.9832,1.12691,0.0015644,0.0015644,0.0015644
13,289.179,1.64674,0.95178,1.64871,0.92916,0.83582,0.91507,0.55891,1.03124,11.1534,1.09444,0.0015248,0.0015248,0.0015248
14,311.169,1.63454,0.93993,1.64476,0.91238,0.78922,0.89876,0.49882,1.13965,4.22636,1.15132,0.0014852,0.0014852,0.0014852
15,333.219,1.61215,0.89686,1.62523,0.96571,0.90196,0.95343,0.58132,1.00074,1.10002,1.05106,0.0014456,0.0014456,0.0014456
16,355.469,1.58775,0.88452,1.60813,0.95767,0.93627,0.97092,0.59589,1.00946,0.53404,1.05241,0.001406,0.001406,0.001406
17,377.698,1.56968,0.85633,1.58415,0.94754,0.96078,0.97923,0.58706,0.99726,0.54231,1.04212,0.0013664,0.0013664,0.0013664
18,399.58,1.57209,0.85468,1.59512,0.93609,0.93335,0.96946,0.57858,1.04424,1.02826,1.0693,0.0013268,0.0013268,0.0013268
19,421.576,1.53481,0.82352,1.55062,0.97302,0.95588,0.98039,0.61305,0.96546,0.57978,1.02273,0.0012872,0.0012872,0.0012872
20,443.866,1.53127,0.80653,1.54833,0.98399,0.90388,0.97886,0.60648,0.9945,0.7281,1.02552,0.0012476,0.0012476,0.0012476
21,465.69,1.5235,0.81145,1.5357,0.96888,0.91564,0.98354,0.61871,0.94704,1.3113,1.00451,0.001208,0.001208,0.001208
22,488.009,1.47759,0.77384,1.51184,0.95534,0.94367,0.98013,0.62377,0.97107,0.46897,1.01713,0.0011684,0.0011684,0.0011684
23,510.228,1.45286,0.75332,1.50599,0.96465,0.96078,0.98564,0.63071,0.95121,1.10952,1.01235,0.0011288,0.0011288,0.0011288
